Time,Clock ,Input to Input,Enabled 1 Bit Counter 1 output,Enabled 1 Bit Counter TC 1 output,Input to Moore 1,NS of Moore 1,output of Moore 1,PS of Moore 1,Enabled 2 Bit Counter And1 output,Enabled 1 Bit Counter 2 output,Enabled 1 Bit Counter TC 2 output,Input to Moore 2,NS of Moore 2,output of Moore 2,PS of Moore 2,Enabled 2 Bit Counter 1 output,Enabled 2 Bit Counter TC1 output,Enabled 4 Bit Counter And1 output,Enabled 1 Bit Counter 3 output,Enabled 1 Bit Counter TC 3 output,Input to Moore 3,NS of Moore 3,output of Moore 3,PS of Moore 3,Enabled 2 Bit Counter And2 output,Enabled 1 Bit Counter 4 output,Enabled 1 Bit Counter TC 4 output,Input to Moore 4,NS of Moore 4,output of Moore 4,PS of Moore 4,Enabled 2 Bit Counter 2 output,Enabled 2 Bit Counter TC2 output,Enabled 4 Bit Counter 1 output,Enabled 4 Bit Counter TC1 output
3.549999999999999,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,4,0
4.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,4,0
4.5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,4,0
4.51,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,4,0
4.52,1,1,1,1,1,0,3,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,5,0
4.529999999999999,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,5,0
4.539999999999999,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,5,0
4.549999999999999,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,5,0
5.0,0,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,5,0
5.5,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,5,0
5.51,1,1,1,1,1,0,3,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,5,0
5.52,1,1,0,0,1,1,0,0,0,1,1,0,0,3,1,2,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,6,0
5.529999999999999,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,6,0
5.539999999999999,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,6,0
5.549999999999999,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,6,0
6.0,0,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,6,0
6.5,1,1,0,0,1,1,0,0,0,1,1,0,1,3,1,2,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,6,0
6.51,1,1,0,0,1,1,0,1,0,1,1,0,1,3,1,2,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,1,0,6,0
6.52,1,1,1,1,1,0,3,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,3,1,1,0,0,1,0,0,0,1,0,7,0
6.529999999999999,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,7,0
6.539999999999999,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,7,0
6.549999999999999,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,7,0
7.0,0,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,7,0
7.5,1,1,1,1,1,0,3,1,1,1,1,1,0,3,1,3,1,1,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,7,0
7.51,1,1,1,1,1,0,3,0,1,1,1,1,0,3,0,3,1,1,1,1,1,0,3,0,1,0,0,1,1,0,1,1,0,7,0
7.52,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,1,2,0,8,0
7.529999999999999,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,8,0
7.539999999999999,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,8,0
7.549999999999999,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,8,0
8.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,8,0
8.5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,2,0,8,0
