Time,Input to PWM Input,Clock clk,Input to Mod 4 Counter,NS of Mod 4 Counter,output of Mod 4 Counter,PS of Mod 4 Counter,Sync Reset Comparator output,Output Comparator output,Final Output from PWM Output
20.710000000000004,9,1,0,0,0,0,0,1,1
20.800000000000004,9,1,0,1,0,0,0,1,1
21.0,9,0,0,1,0,0,0,1,1
21.5,9,1,0,1,0,0,0,1,1
21.6,9,1,0,1,0,1,0,1,1
21.700000000000003,9,1,0,2,1,1,0,0,1
21.710000000000004,9,1,0,2,1,1,0,0,0
21.800000000000004,9,1,0,2,1,1,0,0,0
22.0,9,0,0,2,1,1,0,0,0
22.5,9,1,0,2,1,1,0,0,0
22.6,9,1,0,2,1,2,0,0,0
22.700000000000003,9,1,1,3,2,2,1,0,0
22.710000000000004,9,1,1,3,2,2,1,0,0
22.800000000000004,9,1,1,0,2,2,1,0,0
23.0,9,0,1,0,2,2,1,0,0
23.5,9,1,1,0,2,2,1,0,0
23.6,9,1,1,0,2,0,1,0,0
23.700000000000003,9,1,0,0,0,0,0,1,0
23.710000000000004,9,1,0,0,0,0,0,1,1
23.800000000000004,9,1,0,1,0,0,0,1,1
24.0,9,0,0,1,0,0,0,1,1
24.5,9,1,0,1,0,0,0,1,1
24.6,9,1,0,1,0,1,0,1,1
24.700000000000003,9,1,0,2,1,1,0,0,1
24.710000000000004,9,1,0,2,1,1,0,0,0
24.800000000000004,9,1,0,2,1,1,0,0,0
25.0,9,0,0,2,1,1,0,0,0
25.5,9,1,0,2,1,1,0,0,0
25.6,9,1,0,2,1,2,0,0,0
25.700000000000003,9,1,1,3,2,2,1,0,0
25.710000000000004,9,1,1,3,2,2,1,0,0
25.800000000000004,9,1,1,0,2,2,1,0,0
26.0,9,0,1,0,2,2,1,0,0
26.5,9,1,1,0,2,2,1,0,0
26.6,9,1,1,0,2,0,1,0,0
26.700000000000003,9,1,0,0,0,0,0,1,0
26.710000000000004,9,1,0,0,0,0,0,1,1
26.800000000000004,9,1,0,1,0,0,0,1,1
27.0,9,0,0,1,0,0,0,1,1
27.5,9,1,0,1,0,0,0,1,1
27.6,9,1,0,1,0,1,0,1,1
27.700000000000003,9,1,0,2,1,1,0,0,1
27.710000000000004,9,1,0,2,1,1,0,0,0
27.800000000000004,9,1,0,2,1,1,0,0,0
28.0,9,0,0,2,1,1,0,0,0
28.5,9,1,0,2,1,1,0,0,0
28.6,9,1,0,2,1,2,0,0,0
28.700000000000003,9,1,1,3,2,2,1,0,0
